rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,2,4,Xamã
2,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,1,9,Zé Felipe
3,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,3,9,Mari Fernandez
4,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,2,6,13,PEDRO SAMPAIO
5,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,5,13,Marília Mendonça
6,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,6,7,9,George Henrique & Rodrigo
7,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,4,12,Paulo Pires
8,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,8,13,João Gomes
9,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,6,10,13,Henrique & Juliano
10,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,9,11,10,Marília Mendonça
11,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,11,15,7,Gusttavo Lima
12,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,3,13,13,Felipe Amorim
13,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,13,16,6,Wesley Safadão
14,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,12,13,Zé Felipe
15,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,9,13,Avine Vinny
16,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,16,22,5,DJ Matt D
17,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,7,14,13,Tarcísio do Acordeon
18,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,18,26,5,Jorge & Mateus
19,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,14,17,5,Anitta
20,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,5,19,13,Marília Mendonça
